id,name,venue_type,abbreviation,publisher,total_publications,faculty_publications,created_at,updated_at
84,"International Symposium on Electronic System Design, ISED 2011,
Kochi, Kerala, India, December 19-21, 2011",conference,,IEEE Computer Society,1,1,2026-01-31 22:35:56.592405,2026-01-31 22:35:56.596184
41,"Swarm, Evolutionary, and Memetic Computing - Second International
Conference, SEMCCO 2011, Visakhapatnam, Andhra Pradesh, India, December
19-21, 2011, Proceedings, Part I",conference,,Springer,2,2,2026-01-31 22:35:56.009692,2026-01-31 22:35:56.625612
65,"2016 International Conference on Advances in Computing, Communications
and Informatics, ICACCI 2016, Jaipur, India, September 21-24, 2016",conference,,IEEE,2,2,2026-01-31 22:35:56.358381,2026-01-31 22:36:03.267523
80,"Swarm, Evolutionary, and Memetic Computing - Third International Conference,
SEMCCO 2012, Bhubaneswar, India, December 20-22, 2012. Proceedings",conference,,Springer,3,3,2026-01-31 22:35:56.550139,2026-01-31 22:36:06.221727
83,"Distributed Computing and Internet Technology - 7th International
Conference, ICDCIT 2011, Bhubaneshwar, India, February 9-12, 2011.
Proceedings",conference,,Springer,2,2,2026-01-31 22:35:56.584220,2026-01-31 22:36:07.538395
68,Int. J. Comput. Sci. Eng.,journal,,,2,2,2026-01-31 22:35:56.404839,2026-01-31 22:36:08.691500
72,"Proceedings of the International Conference on Frontiers of Intelligent
Computing: Theory and Applications (FICTA) 2013, Bhubaneswar, Odisa,
India, 14-16 November 2013",conference,,Springer,2,2,2026-01-31 22:35:56.452102,2026-01-31 22:36:09.835287
86,"Proceedings of the International Conference on Soft Computing for
Problem Solving (SocProS 2011) December 20-22, 2011 - Volume 1",conference,,Springer,1,1,2026-01-31 22:35:56.625897,2026-01-31 22:35:56.630321
87,Microelectron. Reliab.,journal,,,1,1,2026-01-31 22:35:56.647184,2026-01-31 22:35:56.652410
90,"Proceedings of the ICWET '10 International Conference & Workshop
on Emerging Trends in Technology, Mumbai, Maharashtra, India, February
26 - 27, 2010",conference,,ACM,1,1,2026-01-31 22:35:56.673226,2026-01-31 22:35:56.677290
91,"Swarm, Evolutionary, and Memetic Computing - First International Conference
on Swarm, Evolutionary, and Memetic Computing, SEMCCO 2010, Chennai,
India, December 16-18, 2010. Proceedings",conference,,Springer,3,3,2026-01-31 22:35:56.677489,2026-01-31 22:35:56.699791
