id,author1_id,author2_id,collaboration_count,first_collaboration_year,last_collaboration_year,created_at,updated_at
2488,873,887,1,2008,2008,2026-01-31 22:36:07.678589,2026-01-31 22:36:07.678590
2489,887,888,1,2008,2008,2026-01-31 22:36:07.680349,2026-01-31 22:36:07.680349
2490,873,888,1,2008,2008,2026-01-31 22:36:07.682012,2026-01-31 22:36:07.682012
2491,528,889,1,2007,2007,2026-01-31 22:36:07.688857,2026-01-31 22:36:07.688858
2486,528,887,2,2007,2008,2026-01-31 22:36:07.673683,2026-01-31 22:36:07.692947
2492,887,889,1,2007,2007,2026-01-31 22:36:07.693339,2026-01-31 22:36:07.693340
2493,874,889,1,2007,2007,2026-01-31 22:36:07.695000,2026-01-31 22:36:07.695000
2494,874,887,1,2007,2007,2026-01-31 22:36:07.696722,2026-01-31 22:36:07.696723
2461,528,875,7,2007,2011,2026-01-31 22:36:07.541881,2026-01-31 22:36:07.704250
2495,528,890,1,2007,2007,2026-01-31 22:36:07.707258,2026-01-31 22:36:07.707258
2496,528,891,1,2007,2007,2026-01-31 22:36:07.713037,2026-01-31 22:36:07.713037
2497,874,891,1,2007,2007,2026-01-31 22:36:07.716655,2026-01-31 22:36:07.716655
2498,880,892,1,2006,2006,2026-01-31 22:36:07.723073,2026-01-31 22:36:07.723074
2499,528,892,1,2006,2006,2026-01-31 22:36:07.725213,2026-01-31 22:36:07.725214
2502,893,894,1,2005,2005,2026-01-31 22:36:07.736554,2026-01-31 22:36:07.736554
2503,528,894,1,2005,2005,2026-01-31 22:36:07.739321,2026-01-31 22:36:07.739321
2504,880,894,1,2005,2005,2026-01-31 22:36:07.740935,2026-01-31 22:36:07.740935
2505,880,895,1,2005,2005,2026-01-31 22:36:07.748995,2026-01-31 22:36:07.748995
2506,880,896,1,2005,2005,2026-01-31 22:36:07.751317,2026-01-31 22:36:07.751318
2507,880,897,1,2005,2005,2026-01-31 22:36:07.752968,2026-01-31 22:36:07.752968
2508,895,896,1,2005,2005,2026-01-31 22:36:07.755756,2026-01-31 22:36:07.755756
2509,895,897,1,2005,2005,2026-01-31 22:36:07.757731,2026-01-31 22:36:07.757732
2510,528,895,1,2005,2005,2026-01-31 22:36:07.759727,2026-01-31 22:36:07.759728
2511,896,897,1,2005,2005,2026-01-31 22:36:07.761559,2026-01-31 22:36:07.761560
2512,528,896,1,2005,2005,2026-01-31 22:36:07.763251,2026-01-31 22:36:07.763251
2513,528,897,1,2005,2005,2026-01-31 22:36:07.764958,2026-01-31 22:36:07.764958
