id,title,dblp_key,publication_type,year,journal,booktitle,source_pids
1152,Precedence Mining in Group Recommender Systems,DBLP:conf/premi/KagitaPP13,conference,2013,,"Pattern Recognition and Machine Intelligence - 5th International Conference,
PReMI 2013, Kolkata, India, December 10-14, 2013. Proceedings",95/6184;98/255
990,Querying a Service from Repository of SMaps,DBLP:conf/icdcit/VaddiM13,conference,2013,,"Distributed Computing and Internet Technology, 9th International Conference,
ICDCIT 2013, Bhubaneswar, India, February 5-8, 2013. Proceedings",74/5678
546,"Reliable measurement of Wireless Sensor Network data for forecasting
wellness of elderly at smart home",DBLP:conf/i2mtc/SuryadevaraMWRH13,conference,2013,,"IEEE International Instrumentation and Measurement Technology Conference,
I2MTC 2013, Minneapolis, MN, USA, May 6-9, 2013",21/10736
547,"Secured multimedia authentication system for wireless sensor network
data related to Internet of Things",DBLP:conf/icsenst/SuryadevaraSK13,conference,2013,,"Seventh International Conference on Sensing Technology, ICST 2013,
Wellington, New Zealand, December 3-5, 2013",21/10736
235,Seed based fuzzy decision reduct for hybrid decision systems,DBLP:conf/fuzzIEEE/PrasadR13,conference,2013,,"FUZZ-IEEE 2013, IEEE International Conference on Fuzzy Systems,
Hyderabad, India, 7-10 July, 2013, Proceedings",07/5281-1;23/2953
237,"Spatial Anisotropic Interpolation Approach for Text Removal from an
Image",DBLP:conf/miwai/RaghavaAR13,conference,2013,,"Multi-disciplinary Trends in Artificial Intelligence - 7th International
Workshop, MIWAI 2013, Krabi, Thailand, December 9-11, 2013. Proceedings",07/5281-1;97/3869
1151,Spectral approach to find number of clusters of short-text documents,DBLP:conf/ncvpripg/GoyalJP13,conference,2013,,"Fourth National Conference on Computer Vision, Pattern Recognition,
Image Processing and Graphics, NCVPRIPG 2013, Jodhpur, India, December
18-21, 2013",95/6184
1066,"Stochastic resonance aided robust techniques for segmentation of medical
ultrasound images",DBLP:conf/ncvpripg/SagarB13,conference,2013,,"Fourth National Conference on Computer Vision, Pattern Recognition,
Image Processing and Graphics, NCVPRIPG 2013, Jodhpur, India, December
18-21, 2013",91/1525
751,The influence of spatial cueing on serial order visual memory,DBLP:conf/cogsci/SenguptaGBMB13,conference,2013,,"Proceedings of the 35th Annual Meeting of the Cognitive Science Society,
CogSci 2013, Berlin, Germany, July 31 - August 3, 2013",50/1424
1262,Time Series Qlet: Invariant approach for data mining,DBLP:conf/ic3/AnandP13,conference,2013,,"Sixth International Conference on Contemporary Computing, IC3 2013,
Noida, India, August 8-10, 2013",98/255
236,Topology Aware Task stealing for on-Chip NUMA Multi-Core Processors,DBLP:conf/iccS/VikranthWR13,conference,2013,,"Proceedings of the International Conference on Computational Science,
ICCS 2013, Barcelona, Spain, 5-7 June, 2013",07/5281-1;31/566
1263,"Training and classification of ballistic missiles using Hidden Markov
model",DBLP:conf/ic3/SinghP13,conference,2013,,"Sixth International Conference on Contemporary Computing, IC3 2013,
Noida, India, August 8-10, 2013",98/255
